danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,views_youtube,likes_youtube,comments_youtube,streams_spotify,energyliveness
0.0,0.0,-46.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,1.0,0.92,0.964,0.996,1.0,1.0,0.993,243.372,77.9343,8079649362.0,50788652.0,16083138.0,3386520288.0,59.11392405063291
